sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
2705,Skiving Machine Operator (Abrasive),8122.7300,8223.73,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Skiving Machine Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Skiving Machine Operator (Abrasive) NCO 2015: 8122.7300, NCO 2004: 8223.73 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Skiving Machine Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2706,Belt Press Operator (Abrasive),8122.7400,8223.74,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Belt Press Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Belt Press Operator (Abrasive) NCO 2015: 8122.7400, NCO 2004: 8223.74 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Belt Press Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2707,Roll Winding Machine Operator (Abrasive),8122.7500,8223.75,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Roll Winding Machine Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Roll Winding Machine Operator (Abrasive) NCO 2015: 8122.7500, NCO 2004: 8223.75 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Roll Winding Machine Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2708,Electroplater,8122.0100,8223.10,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Electroplater belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Electroplater NCO 2015: 8122.0100, NCO 2004: 8223.10 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Electroplater belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2709,Sheet Cutter (Abrasive),8122.7600,8223.76,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Sheet Cutter (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Sheet Cutter (Abrasive) NCO 2015: 8122.7600, NCO 2004: 8223.76 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Sheet Cutter (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2710,Surface Treatment Technician,8122.0101,,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Surface Treatment Technician belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Surface Treatment Technician NCO 2015: 8122.0101, NCO 2004: nan belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Surface Treatment Technician belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2711,Slitting Machine Operator (Abrasive),8122.7700,8223.77,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Slitting Machine Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Slitting Machine Operator (Abrasive) NCO 2015: 8122.7700, NCO 2004: 8223.77 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Slitting Machine Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2712,"Enameller, Chemical",8122.2000,8223.20,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Enameller, Chemical belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Enameller, Chemical NCO 2015: 8122.2000, NCO 2004: 8223.20 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Enameller, Chemical belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2713,Clicker Press Operator (Abrasive),8122.7800,8223.78,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Clicker Press Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Clicker Press Operator (Abrasive) NCO 2015: 8122.7800, NCO 2004: 8223.78 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Clicker Press Operator (Abrasive) belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
2714,Reeling Machine Operator,8122.3000,8223.30,"Plant and Machine Operators, and Assemblers",Stationary Plant and Machine Operators,Metal Processing and Finishing Plant Operators,"Metal Finishing, Plating and Coating Machine Operators","Reeling Machine Operator belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division.","The occupation Reeling Machine Operator NCO 2015: 8122.3000, NCO 2004: 8223.30 belongs to division Plant and Machine Operators, and Assemblers, subdivision Stationary Plant and Machine Operators, group Metal Processing and Finishing Plant Operators, and family Metal Finishing, Plating and Coating Machine Operators. Description: Reeling Machine Operator belongs to the Metal Finishing, Plating and Coating Machine Operators family under Metal Processing and Finishing Plant Operators group in the Plant and Machine Operators, and Assemblers division."
